booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
CANCELLED,PROCESSING,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PROCESSING,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PROCESSING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,SYNCED,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,SYNCED,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,SYNCED,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,SYNCED,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,SYNCED,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_SOFT,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_SOFT,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_SOFT,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_HARD,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_HARD,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,SYNCED,TOMBSTONED_HARD,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,FAILED,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,FAILED,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,FAILED,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,FAILED,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_SOFT,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_SOFT,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_SOFT,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_HARD,ACCEPTED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_HARD,TENTATIVE,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
CANCELLED,FAILED,TOMBSTONED_HARD,DECLINED,LEGAL_STEADY,reconcile-engine,terminal_booking_with_tombstoned_projection_converged,structural
EXPIRED,PENDING,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PENDING,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PENDING,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PENDING,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
EXPIRED,PENDING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
EXPIRED,PENDING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
